global_sweep,stage,stage_sweep,degree,n_terms,u_rmse,v_rmse,p_rmse,px_rmse,py_rmse,score,u_step,p_after_u_step,v_step,p_after_v_step,sweep_seconds,elapsed_seconds,is_best
0,0,0,2,10,0.3344122916330068,0.25531025371990784,0.1401676627140188,0.3586829938585248,0.3160634959773745,0.6571971943365046,0.1887386129293266,0.008633270869534852,0.3300675304446811,0.027567144738394382,1.447360958904028,1.6302845210302621,1
1,0,1,2,10,0.19910685916467946,0.1619347608061441,0.1224575735115412,0.30997580315286616,0.2706550686546782,0.419104707151578,0.24688284049407683,0.021651016805193105,0.1778251107646947,0.02037038501806502,1.3314353879541159,2.961807832121849,1
2,0,2,2,10,0.13889752632679034,0.12391383826842346,0.10563363015038235,0.26385200525816843,0.22836987377634574,0.31203355249866527,0.11928054058075385,0.020729535869682753,0.0786399190591321,0.01926839609435998,1.3357425809372216,4.297665510093793,1
3,0,3,2,10,0.11386197785506744,0.10617015341260362,0.09125612312667165,0.2236142788726927,0.19444322840621273,0.2618378819955616,0.054310377993185534,0.018385560147044965,0.04103839332465735,0.01581880947154395,1.3363032301422209,5.634079691953957,1
4,0,4,2,10,0.10027905821280356,0.09549371870186728,0.07998618521134777,0.19236920660217807,0.1688672904823503,0.23189642662312365,0.03376268545054728,0.014607748046592938,0.028271161859802996,0.012292127858684854,1.3382906520273536,6.972455484094098,1
5,0,5,2,10,0.0916164194197832,0.0885198499164774,0.07126422745332331,0.16873749092476872,0.14973933857424832,0.2119839522861623,0.024811632913422522,0.01137327540937373,0.02133351692785875,0.009540981648109712,1.33199857105501,8.304562269011512,1
6,0,6,2,10,0.08591269121199598,0.08391734997120014,0.06447149040298074,0.15086622580347434,0.1353982320071045,0.198456486964254,0.019062953839869393,0.008903889308228113,0.01652946069498176,0.007469514930576074,1.3337539290077984,9.63842515507713,1
7,0,7,2,10,0.08215761782107388,0.08088722067087924,0.059140345324512636,0.13730961727517332,0.12461158366724051,0.1892369585861945,0.01488697739182128,0.007026616195766973,0.012964846123518878,0.005895592268556586,1.3332591988146305,10.971767822047696,1
8,0,8,2,10,0.07969567696951764,0.07889779329860502,0.054929600585152394,0.12699696542438757,0.11647301539172017,0.18294046834973343,0.011735865639478238,0.005581887745394372,0.010250822912761236,0.004683478490527215,1.3380598879884928,12.309941855026409,1
9,0,9,2,10,0.07808668844289207,0.0775932773333805,0.05158696023485056,0.11913039412893982,0.1103108548545354,0.1786240906746201,0.009314096140124201,0.004456802216685003,0.008153453805296036,0.003739266288528249,1.3308435529470444,13.640892853029072,1
10,0,10,2,10,0.07703702353819172,0.0767377602057038,0.048922652989480404,0.11311072597791137,0.1056254743216743,0.1756484037738541,0.0074299660915764214,0.003572397143246865,0.006515219359144009,0.0029970904343776823,1.325934275984764,14.966909412993118,1
11,0,11,2,10,0.07635278759395656,0.07617607665313562,0.046791928343984796,0.10848685624574264,0.10204530281616164,0.17358208015328258,0.005950610399005961,0.0028721569053641676,0.005225044853856303,0.002409596743925895,1.3337793748360127,16.300773706054315,1
12,0,12,2,10,0.07590687288665385,0.075806665664966,0.04508317601599752,0.1049194488029931,0.09929448151322175,0.17213493158324134,0.004780754042117491,0.002314635488285913,0.004202389034753496,0.001941963378086932,1.3344548139721155,17.635315340943635,1
13,0,13,2,10,0.07561629877196135,0.07556319335488787,0.043709607892916356,0.10215370801174058,0.09716847245787025,0.1711117101738103,0.0038504298514960736,0.0018688136231830466,0.0033876106181729778,0.0015681007015918038,1.3295406380202621,18.964937231037766,1
14,0,14,2,10,0.07542699162139353,0.07540234470380379,0.04260327668698978,0.09999853621948486,0.09551558745184663,0.17038074869233047,0.003107283237742253,0.001511093808570457,0.002735790050163466,0.0012681608294484688,1.3353502529207617,20.300370218930766,1
15,0,15,2,10,0.07530372769979199,0.07529580941547308,0.04171068455971308,0.09831055925955984,0.0942231006025904,0.1698529031014801,0.0025115371071992255,0.001223289398479988,0.0022126219792027273,0.0010268552344480683,1.3380325508769602,21.638487976044416,1
16,0,16,2,10,0.07522355192672084,0.07522505468628815,0.04098950770599546,0.09698198442609833,0.0932069191639076,0.16946749697200958,0.0020325909805292215,0.0009912373361295264,0.0017916056049282476,0.0008322871598991529,1.3281555878929794,22.9667364039924,1
17,0,17,2,10,0.07517149266800985,0.07517792495834827,0.040406123411462234,0.09593147187078697,0.09240397769870677,0.1691829625833075,0.001646662030688625,0.0008038155975190926,0.0014520753204532535,0.0006751220252911757,1.327129035955295,24.293949485989287,1
18,0,18,2,10,0.0751377769132642,0.07514643093237333,0.03993372481133257,0.09509733856321109,0.09176667887811121,0.16897060958976975,0.0013351106141756205,0.0006522314551934658,0.0011777904944936433,0.0005479858030223728,1.3309922169428319,25.625049784081057,1
19,0,19,2,10,0.07511602066340142,0.07512531046532353,0.03955087205018008,0.09443253454144168,0.09125884736173129,0.16881046931904226,0.0010832274217358567,0.0005294959652446836,0.0009559064750173746,0.0004450209018264986,1.3363309428095818,26.961471212096512,1
20,0,20,2,10,0.07510205192963247,0.07511109026652632,0.03924037100721891,0.09390094388507747,0.09085278834776232,0.16868851541944277,0.0008793393428844763,0.00043002961543996956,0.0007762112808428848,0.00036155324046011197,1.3362644810695201,28.297846236033365,1
21,0,21,2,10,0.07509314411881197,0.07510147286289953,0.038988400087397415,0.09347466364120903,0.09052714587661488,0.16859479793349388,0.0007141400913740006,0.0003493623225365595,0.0006305511821533095,0.0002938393434866614,1.3352472460828722,29.633176780072972,1
22,0,22,2,10,0.07508751594778033,0.07509493521749025,0.0387838263320887,0.09313199877841927,0.09026533749544886,0.16852218479265738,0.0005801823930009057,0.00028390256469482876,0.0005123930090709069,0.00023887202967826042,1.3294151038862765,30.962676091119647,1
23,0,23,2,10,0.07508400474527806,0.0750904653723891,0.03861766703586564,0.09285597908873636,0.09005440376540402,0.1684655084030812,0.0004714883183766624,0.00023075799614264464,0.00041648704867891615,0.0001942296659087939,1.339167719008401,32.301955993054435,1
24,0,24,2,10,0.07508185275501865,0.07508738930470425,0.03848266393093545,0.09263325614488954,0.08988415680705711,0.16842098335491756,0.0003832473456362842,0.00018759493787512258,0.0003386050239294362,0.00015795825604373597,1.3342360160313547,33.63627702696249,1
25,0,25,2,10,0.0750805672146232,0.07508525687589428,0.03837294499363086,0.09245327745285298,0.0897465452230852,0.1683858063581113,0.0003115804590911358,0.0001525275801982229,0.00027533484121058135,0.00012847857375048342,1.3274982289876789,34.963900645961985,1
26,0,26,2,10,0.07507982867737348,0.07508376656993111,0.038283754846895085,0.0923076635647817,0.08963517646505256,0.16835787925028803,0.00025335455135324736,0.00012403012804715907,0.00022391874837066625,0.00010451259567937705,1.3291837009601295,36.293192635057494,1
27,0,27,2,10,0.07507943092244827,0.07508271574127044,0.03821123914779287,0.09218973463472385,0.08954495456568885,0.16833561558375998,0.00020603554523903898,0.00010086681782692172,0.00018212501710009347,8.502494215642485e-05,1.33952882187441,37.63280634605326,1
28,0,28,2,10,0.07507924157028033,0.0750819676693187,0.03815227166507277,0.09209414777138494,0.08947180308133616,0.16831780432487115,0.00016757158821227317,8.203595878023557e-05,0.0001481457363037276,6.917607689470292e-05,1.3351024209987372,38.96801454294473,1
29,0,29,2,10,0.07507917627938918,0.07508142970374708,0.03810431525989732,0.09201661717319948,0.08941245151522893,0.1683035128519791,0.00013629978383319178,6.67250486107443e-05,0.00012051509126507163,5.628478039246129e-05,1.3379030141513795,40.30600183294155,1
30,0,30,2,10,0.0750791818556924,0.07508103874030436,0.038065309893437656,0.09195369662275214,0.0893642694553028,0.16829201720380227,0.00011087146606850524,5.4274679322308044e-05,9.804381517980946e-05,4.579797712307108e-05,1.3288736809045076,41.63495891704224,1
31,0,31,2,10,0.0750792252109186,0.07508075154913545,0.038033582250792286,0.09190260934779687,0.08932513689506397,0.16828275138434012,9.019216304998904e-05,4.4149450616318606e-05,7.976647484346439e-05,3.7266420920850264e-05,1.3397057889960706,42.97475381405093,1
32,0,32,2,10,0.075079286158689,0.07508053832020777,0.03800777270299636,0.09186111415486223,0.08929334222937867,0.16827527011732085,7.337325187112682e-05,3.5914489848697645e-05,6.48989861577581e-05,3.0325065039830833e-05,1.3332336109597236,44.308084432035685,1
33,0,33,2,10,0.07507935272693816,0.0750803783450163,0.037986776209373,0.09182739955613942,0.08926750158993478,0.16826922118656187,5.9692954265893766e-05,2.921647102640775e-05,5.280431355668725e-05,2.4677190373440012e-05,1.338620238006115,45.646791100967675,1
34,0,34,2,10,0.07507941811853573,0.07508025711928545,0.03796969445136626,0.0917999996565453,0.08924649475909499,0.16826432467938524,4.856481960932608e-05,2.3768252989892924e-05,4.2964736603803395e-05,2.0081556502918854e-05,1.3405365268699825,46.98741653398611,1
35,0,35,2,10,0.07507947874980585,0.07508016439266488,0.03795579703100734,0.09177772706727302,0.0892294140509525,0.16826035725429325,3.9512225599895045e-05,1.933643490330189e-05,3.495939972675267e-05,1.634198939639259e-05,1.3291754950769246,48.31667933892459,1
36,0,36,2,10,0.07507953299247294,0.07508009285087236,0.037944489995772664,0.09175961922047843,0.08921552339659425,0.16825714010505258,3.21477261713867e-05,1.5731267211817694e-05,2.8446120978502083e-05,1.3298936755226181e-05,1.3330796060618013,49.649844078114256,1
37,0,37,2,10,0.07507958037335016,0.07508003722124432,0.03793529029203385,0.09174489528647385,0.08920422550212614,0.16825452967345447,2.615631097521919e-05,1.2798467035730028e-05,2.3146640128102216e-05,1.0822614600360345e-05,1.3325662389397621,50.982494357042015,1
38,0,38,2,10,0.07507962107078235,0.07507999366254792,0.03792780502076091,0.09173292151714207,0.08919503542276692,0.16825241042732117,2.1281826124285278e-05,1.0412575064839079e-05,1.883464806455567e-05,8.807442239624179e-06,1.3345326960552484,52.31711111590266,1
39,0,39,2,10,0.07507965560253288,0.07507995934626373,0.03792171458632603,0.0917231833119993,0.08918755925653998,0.16825068920565053,1.7315952969694763e-05,8.471561333085913e-06,1.5326067987393186e-05,7.167521418989842e-06,1.3316075769253075,53.64880578406155,1
40,1,0,3,20,0.06032619938812792,0.05792828982170717,0.035626857433470084,0.08888518880977163,0.0859607659529265,0.1357390846861049,0.049577038612558764,0.0031343321386703583,0.052591334383610154,0.003311305878409712,2.084036433836445,55.7334002580028,1
41,1,1,3,20,0.04977612866183971,0.048311102981447585,0.03373406049055883,0.08637883103409882,0.08404648130953174,0.11512976287765035,0.03229423921965241,0.0030338422805483104,0.030762138762913338,0.002646265814580753,2.083234793972224,57.816719585098326,1
42,1,2,3,20,0.043673147052588936,0.04282335615201198,0.032406744209348554,0.0847621386154089,0.08292247844039072,0.10326496491018089,0.019449671200152722,0.0022261242402671047,0.017851747623761027,0.0018946412206816987,2.0793471629731357,59.896171727916226,1
43,1,3,3,20,0.04012230902943129,0.03966024664532161,0.03147161235064918,0.08373258966960495,0.08221578784224486,0.09637739342593787,0.011443428245711611,0.001557676497430387,0.010298083920046133,0.0013425189238531116,2.082472753012553,61.97873027296737,1
44,1,4,3,20,0.03804058801420686,0.03781608592769538,0.030796183169871816,0.08305789570874492,0.08174311294274339,0.09233677480705108,0.006655631683687276,0.001089719098889436,0.00592148829373584,0.0009665486692146732,2.080591111211106,64.0594100530725,1
45,1,5,3,20,0.03680785481963185,0.03672841865411124,0.030295256158289745,0.082599880618929,0.08141078483356352,0.08993734001899234,0.003845987500762444,0.0007739211659873348,0.0034011005760127134,0.000714206797816974,2.0844304990023375,66.1439258439932,1
46,1,6,3,20,0.03607007644669204,0.0360796305283773,0.02991463406015672,0.08227832040772422,0.0811676597389619,0.08849430498973795,0.002216813324245052,0.0005611329898799274,0.0019609993085519524,0.0005432670892375629,2.079062409931794,68.22307266807184,1
47,1,7,3,20,0.03562367141293964,0.0356879675607504,0.029619366378802074,0.08204589297292778,0.08098409050180531,0.08761463732116336,0.0012841277789170586,0.00041562362298470153,0.0011493781435930415,0.0004248995126175597,2.0782643801067024,70.30142837809399,1
48,1,8,3,20,0.03535035174954591,0.03544817454468646,0.029386411167134446,0.0818738780343985,0.0808419661856215,0.08707011071623436,0.0007602549660779862,0.00031378654612031,0.0007027309195754844,0.0003405724501034222,2.081075080903247,72.38258826709352,1
49,1,9,3,20,0.035180748476715845,0.035298753561838904,0.029200164431839554,0.081744248687519,0.08072969961367914,0.08672689686867456,0.0004745491759657312,0.00024059902121790756,0.00046466525500059866,0.0002786502716588545,2.076306930044666,74.45898261410184,1
