global_sweep,stage,stage_sweep,degree,n_terms,u_rmse,v_rmse,p_rmse,px_rmse,py_rmse,score,u_step,p_after_u_step,v_step,p_after_v_step,sweep_seconds,elapsed_seconds,is_best
0,0,0,8,165,0.31440574492429163,0.23159298841009157,0.13483547445336783,0.34814703510945566,0.3173317208249947,0.6125466089278282,0.19394962799720794,0.008335390101873959,0.3279203442501013,0.02847083966471535,10.600629216060042,10.787107618059963,1
1,0,1,8,165,0.16930631634862878,0.13247343574145487,0.10836858174016809,0.2863242995778537,0.25708112575505765,0.3561202946233748,0.23125450630431668,0.024302122854007673,0.1607137860438697,0.018753772894692707,10.570692579029128,21.357905220938846,1
2,0,2,8,165,0.1046973833929896,0.08775977193856818,0.09059660277552205,0.24261453112727616,0.212958084525387,0.2380144168968241,0.10760632719069932,0.018685637561383323,0.07678409668832403,0.01518542283472629,10.567766304127872,31.925755725009367,1
3,0,3,8,165,0.07390988537289025,0.06414285253963072,0.07868693913731073,0.21043341436429433,0.18308808418985692,0.17740488776793611,0.053696099230983785,0.014438177926672222,0.04318348524861231,0.0121407715329926,10.461463447194546,42.38730358006433,1
4,0,4,8,165,0.056062223336194233,0.04938895766935323,0.07050397934354016,0.18702963386157537,0.16268933632992272,0.14042307802469728,0.032479674744497734,0.011272243158845,0.02816303328465112,0.009556913253737566,10.462135107954964,52.849524372955784,1
5,0,5,8,165,0.04420450597569946,0.03924857159710963,0.06472207651465753,0.17003149415986302,0.14847183821097593,0.11530341080989298,0.022178281303975193,0.008892053630191757,0.019834023342107984,0.0075552283929897854,10.507065944140777,63.356676410883665,1
6,0,6,8,165,0.035771712714811124,0.03194723086336522,0.06052719906473978,0.1575570561599466,0.1383520569517119,0.0973098548893422,0.016065261530689805,0.007113181807007662,0.014537578631948565,0.006049746556350485,10.665402226848528,74.02216378203593,1
7,0,7,8,165,0.029579885000283412,0.02657142186054499,0.057405757361232386,0.14824423215656765,0.13097574115770477,0.08407330419225564,0.012013594782663582,0.0057797565260104015,0.010913272722404716,0.004919776861980843,10.502529466990381,84.52479543886147,1
8,0,8,8,165,0.024962697114842638,0.022568656248323528,0.05502495778017954,0.14114273114698295,0.1254492989873886,0.07419055637660332,0.009167625746628393,0.004771253666282777,0.008331146016649332,0.004066074400625059,10.502426076913252,95.02730764588341,1
9,0,9,8,165,0.02149083160251495,0.019568147865174194,0.05316467962404013,0.13559840069795653,0.12118110346066341,0.06673692988355115,0.007101951063279926,0.004000608360064861,0.006447602484677251,0.003415529714587079,10.502304010093212,105.52969825593755,1
