run,global_sweep,stage,stage_sweep,degree,n_terms,u_rmse,v_rmse,p_rmse,px_rmse,py_rmse,score,u_step,p_after_u_step,v_step,p_after_v_step,u_phys_data,u_phys_div,u_phys_mx,u_phys_my,v_phys_data,v_phys_div,v_phys_mx,v_phys_my,p_phys_mx,p_phys_my,is_best
5_to_8,0,0,0,5,56,0.3144060503528821,0.23160942667444856,0.13474047727365665,0.3480028065117842,0.31710864957318813,0.6125266226358279,0.384236779979138,0.04243687164834426,0.7141179145871268,0.12082768447707211,0.4416174511633461,0.0,0.0,0.0,0.44161745116334616,0.19986961627817976,0.004279005885113458,0.002316513732750761,0.015628652686149092,0.06603524741516432,1
5_to_8,1,0,1,5,56,0.16955792911752593,0.1328173412678348,0.10745798223017769,0.2845761126893051,0.25634946001312514,0.35646782765560375,0.5760153842468175,0.13401140726531574,0.26785753890140235,0.21270642505812015,0.3144060503528822,0.14651450784677877,0.014198131223688251,0.015029633405171964,0.2316094266744485,0.10240104853420044,0.01102032938165485,0.009744359695338328,0.019298395925493327,0.04219604672259027,1
5_to_8,2,0,2,5,56,0.10509609047707974,0.08814598360727609,0.08951239754896315,0.23999146231721075,0.21126841055313095,0.23836806137139002,0.29040783910952545,0.12958428226654894,0.17467559975490635,0.2340119545849486,0.16955792911752593,0.08354252696120469,0.009444711574378206,0.009679625446256652,0.13281734126783473,0.07024396731564937,0.010985110753089274,0.010988061439469527,0.013380210221098088,0.03611825378651033,1
5_to_8,3,0,3,5,56,0.07413930643557481,0.06439226540522902,0.07820936724383654,0.20720402403881485,0.1806124932591557,0.1773132235706009,0.17523651702832357,0.11043980762539937,0.13892782236994072,0.19627131163616143,0.10509609047707974,0.0665831743421521,0.009169432913931089,0.008399100295182744,0.0881459836072761,0.05974151920731395,0.009128469711773713,0.00949959948275523,0.009937425124545493,0.02966949910544699,1
5_to_8,4,0,4,5,56,0.05619051093498681,0.04960484681390091,0.07089798586175224,0.18317897377050185,0.1594240624730365,0.14005566137324155,0.12080345566975456,0.08505404264189316,0.09885266430617543,0.14794519168331802,0.0741393064355748,0.055680350065978226,0.008291213529923873,0.0076923822747704505,0.06439226540522903,0.04977868539383513,0.008098759921506936,0.008215980792744892,0.008528600052733013,0.02382759561958049,1
5_to_8,5,0,5,5,56,0.044383126820950546,0.03954432968848052,0.0659081315917509,0.1654297358974508,0.14430694854192275,0.11490112495336842,0.08036742707339799,0.0633399662754691,0.06671999167325923,0.10592920028323054,0.056190510934986816,0.045903858999486936,0.007787404471071979,0.007499814515614824,0.04960484681390091,0.041170605635066325,0.007787702812385392,0.0077384714131463325,0.008050583466465606,0.019302515930006186,1
5_to_8,6,0,6,5,56,0.03608853802744681,0.03237846699205547,0.06226973354460433,0.1520335826413257,0.13313062131958772,0.09698342541559363,0.051940317464721455,0.046066564694363654,0.044099919577581456,0.07295512128574455,0.044383126820950546,0.03806553957412685,0.007697708352391965,0.007574383090636477,0.03954432968848053,0.03447974442101093,0.007792326461793326,0.007705966038980551,0.007957453823039834,0.016016851101573436,1
5_to_8,7,0,7,5,56,0.030064550128142867,0.027149109135344227,0.05942434873160833,0.1416227613589001,0.1245360740606311,0.08382954280544021,0.032544451721679635,0.03255377454373696,0.02908268323239795,0.04800092240234738,0.036088538027446805,0.0321630586971917,0.007782723693190222,0.00772910660081963,0.03237846699205546,0.029512782774535024,0.007879364019923658,0.007814030686818204,0.007985437751992567,0.013698646694859961,1
5_to_8,8,0,8,5,56,0.025610020734973107,0.023277803202168622,0.0570498450651326,0.13326088217274334,0.11764760428560093,0.07397867258297616,0.019784260954970247,0.02215533779670845,0.01979331603254614,0.029642835660081607,0.030064550128142863,0.02783608627134918,0.007893369812048533,0.007869393357436447,0.027149109135344227,0.02589282431796434,0.007954370011487655,0.007926661488198783,0.00802366214402539,0.01208427097786869,1
5_to_8,9,0,9,5,56,0.022276690152312685,0.02038047163700564,0.05496008543870773,0.12631692496884817,0.11189931490172496,0.06647878577637564,0.012706031094085999,0.014472239800789466,0.015024923958074898,0.017230178833787198,0.02561002073497311,0.024690277234167984,0.00797186120794587,0.00796243758162742,0.023277803202168622,0.02326083087897854,0.007989478018381305,0.007999858875257166,0.008034629423435507,0.010962016824354378,1
5_to_8,10,0,10,5,56,0.019755473686491498,0.018187494414841972,0.0530477093711149,0.12036810199197646,0.10692548781469668,0.060672327082000786,0.011132477739233714,0.009494347458788754,0.013648820392812818,0.011940669142931307,0.022276690152312685,0.022391504887085117,0.008004165141720294,0.008003904513651796,0.020380471637005636,0.021325710195048395,0.007982192922872708,0.008026016134502541,0.008010585722365798,0.010173343613378015,1
5_to_8,11,0,11,5,56,0.017824663930827177,0.01650436352872757,0.05125122883599425,0.11513133566654112,0.10248981412983893,0.05609114243919275,0.012814356632039918,0.0075935314037871545,0.014132625979140839,0.013759421167883434,0.019755473686491498,0.020681750971301274,0.007992540807205266,0.007999640974104723,0.018187494414841972,0.01986834759884263,0.007938095436505085,0.008009657089463405,0.00795429091948746,0.009604936263883725,1
5_to_8,12,0,12,5,56,0.016322707004438823,0.01518956838531737,0.04953591775659158,0.11041659499585978,0.0984394736244857,0.05239788225179074,0.015113674712648878,0.008233324384219148,0.015225440433403445,0.01778178651372886,0.017824663930827177,0.01937237193366621,0.007944092124585609,0.007958017923983334,0.016504363528727563,0.018731934616137643,0.0078644859470071,0.00795841193923288,0.007871496015505804,0.009179050100370652,1
5_to_8,13,0,13,5,56,0.015131711429727118,0.014140427716394023,0.04788261735162,0.10609563005723814,0.09467538684059561,0.049349240835904515,0.017089108066754205,0.00976804428893682,0.016326874032354475,0.021466242443458114,0.016322707004438823,0.018331087304854533,0.00786655979828105,0.007887167990730769,0.015189568385317372,0.017808610498394207,0.007768254690940998,0.007879915475721661,0.007768197688094713,0.00884419654231772,1
